timestamp free_pages compressor_pages swap_used_MB free_pct
2026-03-17 17:23:58 3480 187728 6168.44 28
2026-03-17 17:24:08 3945 194056 6112.44 27
2026-03-17 17:24:18 3773 197537 6112.44 27
2026-03-17 17:24:28 3819 183021 6171.06 30
2026-03-17 17:24:38 3838 179704 6163.06 30
2026-03-17 17:24:48 3512 189481 6155.06 28
2026-03-17 17:24:58 4209 187462 6155.06 29
2026-03-17 17:25:08 4035 194850 6160.44 28
2026-03-17 17:25:18 3861 193070 6183.81 28
2026-03-17 17:25:28 3585 197927 6199.00 27
2026-03-17 17:25:38 3961 189569 6178.00 28
2026-03-17 17:25:48 4656 196763 6204.12 27
2026-03-17 17:25:58 4311 191986 6228.12 27
2026-03-17 17:26:08 4252 192411 6228.12 28
2026-03-17 17:26:18 3773 194681 6224.50 26
2026-03-17 17:26:28 3856 183368 6226.94 30
2026-03-17 17:26:38 3722 177416 6226.94 31
2026-03-17 17:26:48 3836 187194 6218.94 29
2026-03-17 17:26:58 3739 181367 6324.56 29
2026-03-17 17:27:08 3735 173547 6268.56 32
2026-03-17 17:27:18 3683 188443 6260.56 28
2026-03-17 17:27:28 3684 184253 6228.56 30
2026-03-17 17:27:38 3666 181360 6228.56 30
2026-03-17 17:27:48 3863 180535 6228.56 30
2026-03-17 17:27:59 3521 188105 6228.56 28
2026-03-17 17:28:09 4095 192312 6204.56 27
2026-03-17 17:28:19 3653 189342 6204.56 28
2026-03-17 17:28:29 4164 189712 6224.94 28
2026-03-17 17:28:39 3991 191826 6216.94 28
2026-03-17 17:28:49 4079 195465 6219.31 27
2026-03-17 17:28:59 4000 174205 6211.31 32
2026-03-17 17:29:09 3453 194906 6203.31 27
2026-03-17 17:29:19 3524 187884 6195.31 28
2026-03-17 17:29:29 3754 191320 6195.31 28
2026-03-17 17:29:39 3935 193904 6195.31 28
2026-03-17 17:29:49 4328 193647 6187.38 27
2026-03-17 17:29:59 3647 191710 6187.38 28
2026-03-17 17:30:09 4717 191297 6177.62 28
2026-03-17 17:30:19 3799 190657 6188.56 27
2026-03-17 17:30:29 3756 193248 6255.38 27
2026-03-17 17:30:39 4185 189862 6257.50 28
2026-03-17 17:30:49 3773 191144 6258.50 27
2026-03-17 17:30:59 3725 184472 6258.50 29
2026-03-17 17:31:09 4175 189218 6258.50 28
2026-03-17 17:31:19 3586 195976 6274.12 27
2026-03-17 17:31:29 3576 188748 6350.62 27
2026-03-17 17:31:39 4178 187122 6334.62 29
2026-03-17 17:31:49 4131 190352 6348.81 28
2026-03-17 17:31:59 3664 190893 6361.62 28
2026-03-17 17:32:09 3518 185309 6361.62 28
2026-03-17 17:32:19 4068 174027 6466.56 31
2026-03-17 17:32:29 3903 172169 6458.56 32
2026-03-17 17:32:39 3597 174211 6418.56 32
2026-03-17 17:32:49 4986 187174 6378.56 29
2026-03-17 17:33:00 3776 189945 6378.56 28
2026-03-17 17:33:10 3721 191776 6352.12 27
2026-03-17 17:33:20 3552 195332 6336.12 27
2026-03-17 17:33:30 3599 186778 6336.12 29
2026-03-17 17:33:40 3747 195973 6343.00 27
2026-03-17 17:33:50 3691 192212 6337.81 28
2026-03-17 17:34:00 3920 186641 6458.94 27
2026-03-17 17:34:10 2916 188199 6434.94 27
2026-03-17 17:34:20 6456 191158 6447.00 27
2026-03-17 17:34:30 4203 177801 6439.00 31
2026-03-17 17:34:40 3870 178363 6431.00 30
2026-03-17 17:34:50 3745 177371 6423.00 31
2026-03-17 17:35:00 3809 190410 6423.00 27
2026-03-17 17:35:10 4029 182063 6407.00 30
2026-03-17 17:35:20 3513 172497 6407.00 32
2026-03-17 17:35:30 3583 187226 6407.00 29
2026-03-17 17:35:40 3739 191685 6462.81 28
2026-03-17 17:35:50 3672 185710 6414.81 29
2026-03-17 17:36:00 4755 180350 6414.81 30
2026-03-17 17:36:10 4436 186580 6406.81 29
2026-03-17 17:36:20 3986 184573 6406.81 29
2026-03-17 17:36:30 2856 189308 6302.81 28
2026-03-17 17:36:41 3738 190101 6294.81 29
2026-03-17 17:36:51 3550 191650 6294.81 27
2026-03-17 17:37:01 4213 192922 6421.19 26
2026-03-17 17:37:11 3546 173880 6484.31 31
2026-03-17 17:37:21 3810 177051 6460.31 31
2026-03-17 17:37:31 3679 164820 6460.31 34
2026-03-17 17:37:41 3870 169389 6452.31 33
2026-03-17 17:37:51 4494 177063 6444.31 32
